"PLZ","Abholdatum"
8047,"2023-12-28"
8048,"2023-01-12"
8048,"2023-01-26"
8048,"2023-02-09"
8048,"2023-02-23"
8048,"2023-03-09"
8048,"2023-03-23"
8048,"2023-04-06"
8048,"2023-04-20"
8048,"2023-05-04"
8048,"2023-06-01"
8048,"2023-06-15"
8048,"2023-06-29"
8048,"2023-07-13"
8048,"2023-07-27"
8048,"2023-08-10"
8048,"2023-08-24"
8048,"2023-09-07"
8048,"2023-09-21"
8048,"2023-10-05"
8048,"2023-10-19"
8048,"2023-11-02"
8048,"2023-11-16"
8048,"2023-11-30"
8048,"2023-12-14"
8048,"2023-12-28"
8049,"2023-01-13"
8049,"2023-01-27"
8049,"2023-02-10"
8049,"2023-02-24"
8049,"2023-03-10"
8049,"2023-03-24"
8049,"2023-04-21"
8049,"2023-05-05"
8049,"2023-05-19"
8049,"2023-06-02"
8049,"2023-06-16"
8049,"2023-06-30"
8049,"2023-07-14"
8049,"2023-07-28"
8049,"2023-08-11"
8049,"2023-08-25"
8049,"2023-09-08"
8049,"2023-09-22"
8049,"2023-10-06"
8049,"2023-10-20"
8049,"2023-11-03"
8049,"2023-11-17"
8049,"2023-12-01"
8049,"2023-12-15"
8049,"2023-12-29"
8050,"2023-01-05"
8050,"2023-01-19"
8050,"2023-02-02"
8050,"2023-02-16"
8050,"2023-03-02"
8050,"2023-03-16"
8050,"2023-03-30"
8050,"2023-04-13"
8050,"2023-04-27"
8050,"2023-05-11"
8050,"2023-05-25"
8050,"2023-06-08"
8050,"2023-06-22"
8050,"2023-07-06"
8050,"2023-07-20"
8050,"2023-08-03"
8050,"2023-08-17"
8050,"2023-08-31"
8050,"2023-09-14"
8050,"2023-09-28"
8050,"2023-10-12"
8050,"2023-10-26"
8050,"2023-11-09"
8050,"2023-11-23"
8050,"2023-12-07"
8050,"2023-12-21"
8051,"2023-01-16"
8051,"2023-01-30"
8051,"2023-02-13"
8051,"2023-02-27"
8051,"2023-03-13"
8051,"2023-03-27"
8051,"2023-04-24"
8051,"2023-05-08"
8051,"2023-05-22"
8051,"2023-06-05"
8051,"2023-06-19"
8051,"2023-07-03"
8051,"2023-07-17"
8051,"2023-07-31"
8051,"2023-08-14"
8051,"2023-08-28"
8051,"2023-09-11"
8051,"2023-09-25"
8051,"2023-10-09"
8051,"2023-10-23"
8051,"2023-11-06"
8051,"2023-11-20"
8051,"2023-12-04"
8051,"2023-12-18"
8052,"2023-01-05"
8052,"2023-01-19"
8052,"2023-02-02"
8052,"2023-02-16"
8052,"2023-03-02"
8052,"2023-03-16"
8052,"2023-03-30"
8052,"2023-04-13"
8052,"2023-04-27"
8052,"2023-05-11"
8052,"2023-05-25"
8052,"2023-06-08"
8052,"2023-06-22"
8052,"2023-07-06"
8052,"2023-07-20"
8052,"2023-08-03"
8052,"2023-08-17"
8052,"2023-08-31"
8052,"2023-09-14"
8052,"2023-09-28"
8052,"2023-10-12"
8052,"2023-10-26"
8052,"2023-11-09"
8052,"2023-11-23"
8052,"2023-12-07"
8052,"2023-12-21"
8053,"2023-01-16"
8053,"2023-01-30"
8053,"2023-02-13"
8053,"2023-02-27"
8053,"2023-03-13"
8053,"2023-03-27"
8053,"2023-04-24"
8053,"2023-05-08"
8053,"2023-05-22"
8053,"2023-06-05"
8053,"2023-06-19"
8053,"2023-07-03"
8053,"2023-07-17"
8053,"2023-07-31"
8053,"2023-08-14"
8053,"2023-08-28"
8053,"2023-09-11"
8053,"2023-09-25"
8053,"2023-10-09"
8053,"2023-10-23"
8053,"2023-11-06"
8053,"2023-11-20"
8053,"2023-12-04"
8053,"2023-12-18"
8055,"2023-01-10"
8055,"2023-01-24"
8055,"2023-02-07"
8055,"2023-02-21"
8055,"2023-03-07"
8055,"2023-03-21"
8055,"2023-04-04"
8055,"2023-04-18"
8055,"2023-05-02"
8055,"2023-05-16"
8055,"2023-05-30"
8055,"2023-06-13"
8055,"2023-06-27"
8055,"2023-07-11"
8055,"2023-07-25"
8055,"2023-08-08"
8055,"2023-08-22"
8055,"2023-09-05"
8055,"2023-09-19"
8055,"2023-10-03"
8055,"2023-10-17"
8055,"2023-10-31"
8055,"2023-11-14"
8055,"2023-11-28"
8055,"2023-12-12"
8057,"2023-01-04"
8057,"2023-01-18"
8057,"2023-02-01"
8057,"2023-02-15"
8057,"2023-03-01"
8057,"2023-03-15"
8057,"2023-03-29"
8057,"2023-04-12"
8057,"2023-04-26"
8057,"2023-05-10"
8057,"2023-05-24"
8057,"2023-06-07"
8057,"2023-06-21"
8057,"2023-07-05"
8057,"2023-07-19"
8057,"2023-08-02"
8057,"2023-08-16"
8057,"2023-08-30"
8057,"2023-09-13"
8057,"2023-09-27"
8057,"2023-10-11"
8057,"2023-10-25"
8057,"2023-11-08"
8057,"2023-11-22"
8057,"2023-12-06"
8057,"2023-12-20"
8064,"2023-01-12"
8064,"2023-01-26"
8064,"2023-02-09"
8064,"2023-02-23"
8064,"2023-03-09"
8064,"2023-03-23"
8064,"2023-04-06"
8064,"2023-04-20"
8064,"2023-05-04"
8064,"2023-06-01"
8064,"2023-06-15"
8064,"2023-06-29"
8064,"2023-07-13"
8064,"2023-07-27"
8064,"2023-08-10"
8064,"2023-08-24"
8064,"2023-09-07"
8064,"2023-09-21"
8064,"2023-10-05"
8064,"2023-10-19"
8064,"2023-11-02"
8064,"2023-11-16"
8064,"2023-11-30"
8064,"2023-12-14"
8064,"2023-12-28"

